# Simulation 3 (Up to date)
# 583 data points written for 6 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.827e-4,-0.097,-9.655,0.097,9.692
0.02,-4.765e-4,-0.095,-9.529,0.096,9.566
0.03,-4.702e-4,-0.094,-9.403,0.094,9.439
0.04,-4.639e-4,-0.093,-9.278,0.093,9.313
0.05,-4.561e-4,-0.091,-9.122,0.092,9.156
0.06,-4.439e-4,-0.089,-8.878,0.089,8.912
0.07,-4.314e-4,-0.086,-8.628,0.087,8.661
0.08,-4.19e-4,-0.084,-8.379,0.084,8.411
0.09,-4.065e-4,-0.081,-8.13,0.082,8.161
0.1,-3.94e-4,-0.079,-7.88,0.079,7.91
0.11,-3.816e-4,-0.076,-7.631,0.077,7.66
0.12,-3.691e-4,-0.074,-7.382,0.074,7.41
0.13,-3.566e-4,-0.071,-7.132,0.072,7.159
0.14,-3.416e-4,-0.068,-6.831,0.069,6.857
0.15,-2.86e-4,-0.057,-5.719,0.057,5.741
0.16,-2.164e-4,-0.043,-4.327,0.043,4.344
0.17,-1.468e-4,-0.029,-2.935,0.029,2.946
0.18,-7.714e-5,-0.015,-1.543,0.015,1.548
0.19,3.252e-6,6.522e-4,0.066,6.547e-4,0.066
0.2,1.377e-4,0.026,2.56,0.026,2.57
0.21,6.577e-4,0.078,5.151,0.078,5.171
0.22,0.002,0.155,7.743,0.156,7.772
0.23,0.004,0.258,10.335,0.259,10.374
0.24,0.007,0.387,12.834,0.388,12.883
0.25,0.012,0.539,15.194,0.541,15.252
0.26,0.018,0.714,17.554,0.717,17.621
# Event LIFTOFF occurred at t=0.27 seconds
0.27,0.026,0.913,19.915,0.917,19.991
0.28,0.036,1.136,22.28,1.14,22.365
0.29,0.049,1.385,24.936,1.391,25.031
0.3,0.064,1.663,27.789,1.67,27.895
0.31,0.082,1.97,30.644,1.977,30.761
0.32,0.104,2.304,33.502,2.313,33.63
0.33,0.129,2.668,36.362,2.678,36.501
0.34,0.157,3.06,39.224,3.072,39.373
0.35,0.19,3.481,42.088,3.494,42.249
0.36,0.227,3.93,44.954,3.945,45.126
0.37,0.269,4.408,47.823,4.425,48.005
0.38,0.315,4.914,50.551,4.933,50.744
0.39,0.367,5.44,52.675,5.461,52.876
0.4,0.424,5.988,54.735,6.01,54.944
0.41,0.487,6.555,56.797,6.58,57.014
0.42,0.555,7.144,58.861,7.171,59.086
0.43,0.63,7.75,60.671,7.78,60.902
0.44,0.711,8.371,62.102,8.403,62.339
0.45,0.797,9.006,63.531,9.041,63.774
0.46,0.891,9.656,64.962,9.692,65.21
0.47,0.991,10.319,66.378,10.358,66.632
# Event LAUNCHROD occurred at t=0.48 seconds
0.48,1.093,10.968,67.238,11.01,67.495
0.494,1.259,11.951,67.935,11.997,68.241
0.516,1.535,13.449,69.051,13.502,69.358
0.548,2.011,15.749,70.725,15.812,71.035
0.597,2.868,19.354,74.039,19.433,74.359
0.647,3.936,23.336,79.792,23.432,80.149
0.697,5.208,27.557,84.559,27.673,84.969
0.747,6.695,31.918,87.338,32.055,87.807
0.797,8.402,36.361,88.965,36.524,89.526
0.847,10.333,40.919,91.254,41.112,91.948
0.897,12.497,45.61,93.884,45.84,94.751
0.947,14.896,50.359,95.028,50.635,96.131
0.997,17.533,55.128,95.377,55.459,96.76
1.047,20.409,59.913,95.68,60.31,97.34
1.097,23.525,64.724,96.221,65.197,98.116
1.147,26.883,69.588,97.322,70.146,99.37
1.19,29.96,73.754,97.11,74.388,99.168
1.232,33.147,77.813,96.622,78.521,98.558
1.282,37.159,82.648,96.888,83.439,98.549
1.332,41.411,87.455,96.311,88.317,97.637
1.382,45.904,92.245,95.882,93.165,96.984
1.425,49.902,96.295,95.537,97.26,96.562
1.46,53.364,99.603,93.592,100.604,94.643
1.5,57.365,103.216,91.427,104.26,92.641
1.55,62.639,107.732,90.168,108.842,91.662
1.6,68.138,112.219,89.574,113.406,91.319
1.65,73.859,116.63,88.14,117.901,89.982
1.691,78.728,120.164,85.965,121.504,87.72
1.741,84.834,124.062,77.741,125.473,79.082
1.791,91.118,127.293,64.575,128.753,65.485
1.832,96.405,129.659,57.496,131.15,58.273
1.869,101.267,131.564,51.042,133.082,51.877
1.919,107.901,133.764,43.618,135.325,44.707
1.969,114.635,135.611,36.826,137.223,38.06
2.002,119.145,136.652,31.457,138.296,32.595
2.042,124.647,137.848,29.863,139.526,30.681
2.092,131.575,139.256,28.137,140.961,28.586
2.13,136.913,140.207,24.898,141.924,25.212
2.161,141.147,140.887,22.501,142.613,22.88
2.205,147.457,141.797,20.126,143.545,20.869
2.255,154.569,142.682,17.579,144.465,18.618
2.29,159.572,143.249,16.272,145.059,17.269
2.335,165.999,143.924,15.076,145.76,15.723
2.385,173.211,144.553,12.619,146.407,12.907
2.427,179.324,145.022,11.027,146.885,11.326
2.477,186.586,145.493,9.302,147.374,9.9
2.527,193.871,145.872,7.514,147.776,8.415
2.577,201.172,146.178,6.163,148.108,7.027
2.627,208.486,146.402,4.559,148.35,5.042
2.677,215.81,146.554,3.041,148.511,3.304
2.726,222.992,146.667,2.24,148.633,2.781
2.776,230.327,146.735,1.253,148.716,2.858
2.826,237.664,146.727,-0.142,148.73,2.706
2.873,244.569,146.678,-0.94,148.701,2.156
2.923,251.901,146.613,-1.208,148.647,1.495
2.973,259.229,146.522,-1.853,148.562,2.031
3.023,266.552,146.372,-3.035,148.421,3.252
3.073,273.865,146.165,-4.138,148.228,4.392
3.123,281.167,145.924,-4.77,148.003,4.975
3.173,288.457,145.662,-5.117,147.754,5.158
3.223,295.733,145.394,-5.352,147.492,5.366
3.273,302.995,145.089,-6.112,147.194,6.142
3.323,310.241,144.743,-6.851,146.859,6.87
3.373,317.469,144.378,-7.306,146.503,7.34
3.423,324.678,143.991,-7.656,146.127,7.67
3.473,331.868,143.584,-8.068,145.728,8.068
3.523,339.036,143.156,-8.53,145.304,8.531
3.573,346.183,142.707,-9.001,144.861,9.007
3.623,353.306,142.232,-9.448,144.397,9.462
3.673,360.405,141.725,-10.042,143.901,10.043
3.723,367.478,141.186,-10.724,143.368,10.726
3.773,374.523,140.629,-11.07,142.815,11.081
3.823,381.54,140.042,-11.71,142.232,11.719
